ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
26,NTA2020,Brooklyn,BK1091,Dyker Beach Park,3,Brooklyn,BK1091,Match,Dyker Beach Park,Match,47,0.13,13,87,DykrBchPk,9,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),,9,9
27,NTA2020,Brooklyn,BK1061,Fort Hamilton,3,Brooklyn,BK1061,Match,Fort Hamilton,Match,47,0.14,14,86,FtHmltn,6,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),,6,775
28,NTA2020,Brooklyn,BK1102,Bath Beach,3,Brooklyn,BK1102,Match,Bath Beach,Match,47,0.07,7,93,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),,0,"33,070"
29,NTA2020,Brooklyn,BK1101,Bensonhurst,3,Brooklyn,BK1101,Match,Bensonhurst,Match,47,0,0,100,Bnsnhrst,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),,0,"104,934"
30,NTA2020,Brooklyn,BK1204,"Mapleton, Midwood (West)",3,Brooklyn,BK1204,Match,Mapleton-Midwood (West),No Match,47,0,0,100,Mpltn,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),,0,"39,137"
31,NTA2020,Brooklyn,BK1402,"Flatbush (West), Ditmas Park, Parkville",3,Brooklyn,BK1402,Match,Flatbush (West)-Ditmas Park-Parkville,No Match,47,0,0,100,Fltbsh_W,0,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),,0,"43,016"
32,NTA2020,Brooklyn,BK1203,Kensington,3,Brooklyn,BK1203,Match,Kensington,Match,47,0,0,100,Knsngtn,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),,0,"41,758"
33,NTA2020,Brooklyn,BK5591,Prospect Park,3,Brooklyn,BK5591,Match,Prospect Park,Match,47,0,0,100,PrspctPk,9,BK55,BK55 Prospect Park (JIA 55 Approximation),,9,15
34,NTA2020,Brooklyn,BK0902,"Prospect Lefferts Gardens, Wingate",3,Brooklyn,BK0902,Match,Prospect Lefferts Gardens-Wingate,No Match,47,0,0,100,PLG_Wngt,0,BK09,BK09 Crown Heights (South) (CD 9 Approximation),,0,"49,513"
35,NTA2020,Brooklyn,BK0901,Crown Heights (South),3,Brooklyn,BK0901,Match,Crown Heights (South),Match,47,0,0,100,CrwnHts_S,0,BK09,BK09 Crown Heights (South) (CD 9 Approximation),,0,"50,590"
36,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,3,Brooklyn,BK0891,Match,Lincoln Terrace Park,Match,47,0,0,100,LclnTrPk,9,BK08,BK08 Crown Heights (North) (CD 8 Approximation),,9,15
37,NTA2020,Brooklyn,BK1601,Ocean Hill,3,Brooklyn,BK1601,Match,Ocean Hill,Match,47,0,0,100,OcnHl,0,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),,0,"37,952"
38,NTA2020,Brooklyn,BK0471,The Evergreens Cemetery,3,Brooklyn,BK0471,Match,The Evergreens Cemetery,Match,47,0,0,100,EvrgrnsCem,7,BK04,BK04 Bushwick (CD 4 Equivalent),,7,6
39,NTA2020,Brooklyn,BK0571,"Highland Park, Cypress Hills Cemeteries (South)",3,Brooklyn,BK0571,Match,Highland Park-Cypress Hills Cemeteries (South),No Match,47,0,0,100,CyHlsCem_S,7,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),,7,7
40,NTA2020,Brooklyn,BK0501,Cypress Hills,3,Brooklyn,BK0501,Match,Cypress Hills,Match,47,0,0,100,CyprssHls,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),,0,"43,256"
41,NTA2020,Brooklyn,BK0502,East New York (North),3,Brooklyn,BK0502,Match,East New York (North),Match,47,0,0,100,ENY_N,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),,0,"42,818"
42,NTA2020,Brooklyn,BK1602,Brownsville,3,Brooklyn,BK1602,Match,Brownsville,Match,47,0,0,100,Brwnsvl,0,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),,0,"60,470"
43,NTA2020,Brooklyn,BK1704,"East Flatbush, Remsen Village",3,Brooklyn,BK1704,Match,East Flatbush-Remsen Village,No Match,47,0,0,100,EFb_RmsnVl,0,BK17,BK17 East Flatbush (CD 17 Approximation),,0,"39,115"
44,NTA2020,Brooklyn,BK1703,"East Flatbush, Rugby",3,Brooklyn,BK1703,Match,East Flatbush-Rugby,No Match,47,0,0,100,EFb_Rgby,0,BK17,BK17 East Flatbush (CD 17 Approximation),,0,"42,762"
45,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,3,Brooklyn,BK1771,Match,Holy Cross Cemetery,Match,47,0,0,100,HlyCrssCem,7,BK17,BK17 East Flatbush (CD 17 Approximation),,7,32
46,NTA2020,Brooklyn,BK1702,"East Flatbush, Farragut",3,Brooklyn,BK1702,Match,East Flatbush-Farragut,No Match,47,0,0,100,EFb_Frrgt,0,BK17,BK17 East Flatbush (CD 17 Approximation),,0,"34,317"
47,NTA2020,Brooklyn,BK1701,"East Flatbush, Erasmus",3,Brooklyn,BK1701,Match,East Flatbush-Erasmus,No Match,47,0,0,100,EFb_Ersms,0,BK17,BK17 East Flatbush (CD 17 Approximation),,0,"47,690"
48,NTA2020,Brooklyn,BK1401,Flatbush,3,Brooklyn,BK1401,Match,Flatbush,Match,47,0,0,100,Fltbsh,0,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),,0,"66,503"
49,NTA2020,Brooklyn,BK1403,Midwood,3,Brooklyn,BK1403,Match,Midwood,Match,47,0,0,100,Mdwd,0,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),,0,"52,891"
50,NTA2020,Brooklyn,BK1502,Madison,3,Brooklyn,BK1502,Match,Madison,Match,47,0.02,2,98,Mdsn,0,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),,0,"41,465"
51,NTA2020,Brooklyn,BK1501,"Gravesend (East), Homecrest",3,Brooklyn,BK1501,Match,Gravesend (East)-Homecrest,No Match,47,0.14,14,86,Grvsnd_E,0,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),,0,"52,797"
52,NTA2020,Brooklyn,BK1103,Gravesend (West),3,Brooklyn,BK1103,Match,Gravesend (West),Match,47,0.31,31,69,Grvsnd_W,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),,0,"60,523"
53,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,3,Brooklyn,BK1391,Match,Calvert Vaux Park,Match,47,0.36,36,64,ClvrtVxPk,9,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),,9,0
54,NTA2020,Brooklyn,BK1301,Gravesend (South),3,Brooklyn,BK1301,Match,Gravesend (South),Match,47,0.84,84,16,Grvsnd_S,0,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),,0,"30,366"
55,NTA2020,Brooklyn,BK1302,"Coney Island, Sea Gate",3,Brooklyn,BK1302,Match,Coney Island-Sea Gate,No Match,47,0.88,88,12,CnyIsl,0,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),,0,"49,517"
