ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
25,NTA2020,Manhattan,MN0803,"Upper East Side, Yorkville",1,Manhattan,MN0803,Match,Upper East Side-Yorkville,No Match,61,0.08,8,92,UES_Yrkvl,0,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),,0,"84,046"
26,NTA2020,Manhattan,MN0202,Greenwich Village,1,Manhattan,MN0202,Match,Greenwich Village,Match,61,0,0,100,GrnwchVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),,0,"34,147"
27,NTA2020,Manhattan,MN0301,"Chinatown, Two Bridges",1,Manhattan,MN0301,Match,Chinatown-Two Bridges,No Match,61,0.22,22,78,Chntwn,0,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),,0,"42,556"
28,NTA2020,Manhattan,MN0302,Lower East Side,1,Manhattan,MN0302,Match,Lower East Side,Match,61,0.21,21,79,LES,0,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),,0,"49,149"
29,NTA2020,Manhattan,MN0303,East Village,1,Manhattan,MN0303,Match,East Village,Match,61,0.3,30,70,EstVlg,0,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),,0,"71,436"
30,NTA2020,Manhattan,MN0601,"Stuyvesant Town, Peter Cooper Village",1,Manhattan,MN0601,Match,Stuyvesant Town-Peter Cooper Village,No Match,61,0.45,45,55,StyTwn,0,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),,0,"22,512"
31,NTA2020,Manhattan,MN0603,"Murray Hill, Kips Bay",1,Manhattan,MN0603,Match,Murray Hill-Kips Bay,No Match,61,0.19,19,81,MryHl_KpBy,0,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),,0,"63,520"
32,NTA2020,Manhattan,MN0661,United Nations,1,Manhattan,MN0661,Match,United Nations,Match,61,0.05,5,95,UN,6,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),,6,0
33,NTA2020,Manhattan,MN0604,"East Midtown, Turtle Bay",1,Manhattan,MN0604,Match,East Midtown-Turtle Bay,No Match,61,0.02,2,98,EstMdtwn,0,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),,0,"45,765"
34,NTA2020,Manhattan,MN0801,"Upper East Side, Lenox Hill, Roosevelt Island",1,Manhattan,MN0801,Match,Upper East Side-Lenox Hill-Roosevelt Island,No Match,61,0.1,10,90,UES_LnxHl,0,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),,0,"85,527"
36,NTA2020,Manhattan,MN1101,East Harlem (South),1,Manhattan,MN1101,Match,East Harlem (South),Match,61,0.24,24,76,EstHrlm_S,0,MN11,MN11 East Harlem (CD 11 Equivalent),,0,"59,814"
37,NTA2020,Manhattan,MN1102,East Harlem (North),1,Manhattan,MN1102,Match,East Harlem (North),Match,61,0.18,18,82,EstHrlm_N,0,MN11,MN11 East Harlem (CD 11 Equivalent),,0,"64,655"
38,NTA2020,Manhattan,MN1191,Randall's Island,1,Manhattan,MN1191,Match,Randall's Island,Match,61,0.19,19,81,RndllsIsl,9,MN11,MN11 East Harlem (CD 11 Equivalent),,9,"1,302"
