ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
27,NTA2020,Bronx,BX2791,Bronx Park,2,Bronx,BX2791,Match,Bronx Park,Match,5,0,0,100,BxPk,9,BX27,BX27 Bronx Park (JIA 27 Approximation),,9,69
28,NTA2020,Bronx,BX1104,Allerton,2,Bronx,BX1104,Match,Allerton,Match,5,0,0,100,Allrtn,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),,0,"34,623"
29,NTA2020,Bronx,BX1201,"Williamsbridge, Olinville",2,Bronx,BX1201,Match,Williamsbridge-Olinville,No Match,5,0,0,100,Wllmsbrdg,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),,0,"61,346"
30,NTA2020,Bronx,BX1203,"Wakefield, Woodlawn",2,Bronx,BX1203,Match,Wakefield-Woodlawn,No Match,5,0,0,100,Wkfld_Wdln,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),,0,"47,657"
31,NTA2020,Bronx,BX1202,"Eastchester, Edenwald, Baychester",2,Bronx,BX1202,Match,Eastchester-Edenwald-Baychester,No Match,5,0.01,1,99,Estchstr,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),,0,"51,736"
32,NTA2020,Bronx,BX1103,Pelham Gardens,2,Bronx,BX1103,Match,Pelham Gardens,Match,5,0,0,100,PlhmGrdns,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),,0,"29,402"
33,NTA2020,Bronx,BX1102,Morris Park,2,Bronx,BX1102,Match,Morris Park,Match,5,0,0,100,MrrsPk,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),,0,"25,077"
34,NTA2020,Bronx,BX1101,"Pelham Parkway, Van Nest",2,Bronx,BX1101,Match,Pelham Parkway-Van Nest,No Match,5,0,0,100,PlhmPkwy,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),,0,"32,425"
35,NTA2020,Bronx,BX0904,Parkchester,2,Bronx,BX0904,Match,Parkchester,Match,5,0,0,100,Pkchstr,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),,0,"33,602"
36,NTA2020,Bronx,BX0901,"Soundview, Bruckner, Bronx River",2,Bronx,BX0901,Match,Soundview-Bruckner-Bronx River,No Match,5,0.02,2,98,Sdvw_BxRvr,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),,0,"74,342"
37,NTA2020,Bronx,BX0201,Hunts Point,2,Bronx,BX0201,Match,Hunts Point,Match,5,0.12,12,88,HntsPt,0,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),,0,"15,131"
38,NTA2020,Bronx,BX0991,Soundview Park,2,Bronx,BX0991,Match,Soundview Park,Match,5,0.02,2,98,SdvwPk,9,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),,9,6
39,NTA2020,Bronx,BX0902,"Soundview, Clason Point",2,Bronx,BX0902,Match,Soundview-Clason Point,No Match,5,0.06,6,94,Sdvw_ClsPt,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),,0,"37,297"
40,NTA2020,Bronx,BX0903,"Castle Hill, Unionport",2,Bronx,BX0903,Match,Castle Hill-Unionport,No Match,5,0.05,5,95,CstlHl,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),,0,"41,420"
41,NTA2020,Bronx,BX1001,Westchester Square,2,Bronx,BX1001,Match,Westchester Square,Match,5,0.06,6,94,WstchstrSq,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),,0,"17,376"
42,NTA2020,Bronx,BX1091,"Ferry Point Park, St. Raymond Cemetery",2,Bronx,BX1091,Match,Ferry Point Park-St. Raymond Cemetery,No Match,5,0.2,20,80,FrryPtPk,9,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),,9,0
43,NTA2020,Bronx,BX1002,"Throgs Neck, Schuylerville",2,Bronx,BX1002,Match,Throgs Neck-Schuylerville,No Match,5,0.11,11,89,ThrgsNck,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),,0,"48,116"
44,NTA2020,Bronx,BX1161,Hutchinson Metro Center,2,Bronx,BX1161,Match,Hutchinson Metro Center,Match,5,0.18,18,82,HtchMtrCtr,6,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),,6,297
45,NTA2020,Bronx,BX1003,"Pelham Bay, Country Club, City Island",2,Bronx,BX1003,Match,Pelham Bay-Country Club-City Island,No Match,5,0.08,8,92,PlhmBy,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),,0,"29,462"
46,NTA2020,Bronx,BX1004,Co-op City,2,Bronx,BX1004,Match,Co-op City,Match,5,0.03,3,97,CoopCty,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),,0,"37,369"
47,NTA2020,Bronx,BX2891,Pelham Bay Park,2,Bronx,BX2891,Match,Pelham Bay Park,Match,5,0.26,26,74,PlhmByPk,9,BX28,BX28 Pelham Bay Park (JIA 28 Approximation),,9,28
48,NTA2020,Bronx,BX1071,Hart Island,2,Bronx,BX1071,Match,Hart Island,Match,5,0.41,41,59,HrtIsl,7,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),,7,0
49,NTA2020,Bronx,BX0291,North & South Brother Islands,2,Bronx,BX0291,Match,North & South Brother Islands,Match,5,0.68,68,32,BrthrIsls,9,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),,9,0
50,NTA2020,Bronx,QN0151,Rikers Island,2,Bronx,QN0151,Match,Rikers Island,Match,5,0.03,3,97,RkrsIsl,5,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),,5,"3,772"
